"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","GO:0002181","cytoplasmic translation","33/262","124/6818",1.57844980154168e-19,4.89635128438229e-16,4.39805960492719e-16,"RPS12/RPL8/RPL5/RPL11/RPL7/RPL12/RPL27/RPS24/RPL32/RPL31/RPS2/RPS18/RPL19/RPS4X/RPL13A/RPS13/RPS21/RPL41/RPS9/RPL10/RACK1/RPS16/FAU/RPS8/RPS25/RPS27A/RPS20/YBX1/RPL10A/RPS3/RPL7A/RPL35A/PABPC1",33
"GO:0042742","GO:0042742","defense response to bacterium","40/262","207/6818",4.65208802909145e-18,7.21538853312083e-15,6.4810931647395e-15,"IGHG1/IGHG2/RNASE1/WFDC2/GRN/IGHV1-18/IGHV3-7/IGHA1/IGHV5-51/HLA-A/IGHV3-11/IGLC2/IGKC/FGA/ISG15/LGALS4/PGC/LYZ/SCNN1B/IGHV3-23/FAU/ROMO1/S100A9/BPIFA1/CHGA/IGHV3-30/HLA-E/AQP1/IGHV7-4-1/IGKV3-20/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/S100A14/PLA2G2A/LCN2/IGHD/IGHV3-64D",40
"GO:0006959","GO:0006959","humoral immune response","38/262","195/6818",2.56730765994639e-17,2.65459612038456e-14,2.38444328978179e-14,"IGHG1/IGHG2/GAPDH/WFDC2/IGHV1-18/IGHV3-7/IGHA1/IGHV5-51/HLA-A/IGHV3-11/IGLC2/HLA-DRB1/CCL2/IGKC/FGA/LGALS4/PGC/VSIG4/LYZ/C1QB/CXCL14/IGHV3-23/FAU/ROMO1/S100A9/BPIFA1/IGHV3-30/HLA-E/PRSS2/IGHV7-4-1/IGKV3-20/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/IGHD/IGHV3-64D",38
"GO:0045087","GO:0045087","innate immune response","54/262","474/6818",1.31710629430582e-13,1.02141593123416e-10,9.17468516059868e-11,"IGHG1/IGHG2/GAPDH/WFDC2/GRN/IGHV1-18/IGHV3-7/IGHA1/HLA-B/IFI6/IGHV5-51/HLA-A/IGHV3-11/IGLC2/HLA-C/CCL2/LGALS3/IGKC/FGA/ISG15/TYROBP/VSIG4/RPL13A/C1QB/BPIFB1/APOE/CCL18/ANXA1/HSP90AA1/IGHV3-23/FAU/IFI27/TUBB4B/IFITM3/S100A9/BPIFA1/ACTG1/CHGA/TRIM28/IGHV3-30/PRDX1/HLA-DPA1/HLA-E/ATP1B1/IGHV7-4-1/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/LCN2/IFITM1/IGHD/IGHV3-64D",54
"GO:0009617","GO:0009617","response to bacterium","50/262","433/6818",7.55104730158112e-13,4.68466974590093e-10,4.20792046469162e-10,"IGHG1/IGHG2/B2M/RNASE1/WFDC2/GRN/IGHV1-18/IGHV3-7/IGHA1/HLA-B/IGHV5-51/HLA-A/IGHV3-11/IGLC2/HLA-DRB1/CCL2/IGKC/GSTP1/FGA/ISG15/LGALS4/PGC/LYZ/FABP4/SCGB1A1/GPX1/SCNN1B/XBP1/IGHV3-23/FAU/ROMO1/S100A9/BPIFA1/CHGA/IGHV3-30/HLA-E/AQP1/IGHV7-4-1/IGKV3-20/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/S100A14/PLA2G2A/LCN2/SNX3/IGHD/IGHV3-64D",50
"GO:0002252","GO:0002252","immune effector process","45/262","371/6818",2.29330508320579e-12,1.1682181027903e-09,1.04933093015912e-09,"IGHG1/IGHG2/B2M/MDK/HLA-DRA/GRN/IGHV1-18/IGHV3-7/IGHA1/HLA-B/IGHV5-51/HLA-A/IGHV3-11/IGLC2/HLA-DRB1/LGALS3/IGKC/PGC/TYROBP/VSIG4/SFTPA1/C1QB/AGER/ANXA1/HLA-DRB5/SCNN1B/XBP1/IGHV3-23/TUBB4B/CHGA/IGHV3-30/PRDX1/GRP/HLA-DPA1/HLA-E/VAMP8/IGHV7-4-1/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/LGALS1/IGHD/IGHV3-64D",45
"GO:0006910","GO:0006910","phagocytosis, recognition","20/262","75/6818",2.89475504709925e-12,1.1682181027903e-09,1.04933093015912e-09,"IGHG1/IGHG2/IGHV1-18/IGHV3-7/IGHA1/IGHV5-51/IGHV3-11/IGLC2/IGKC/SFTPA1/IGHV3-23/IGHV3-30/IGHV7-4-1/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/IGHD/IGHV3-64D",20
"GO:0002250","GO:0002250","adaptive immune response","43/262","345/6818",3.01281264420451e-12,1.1682181027903e-09,1.04933093015912e-09,"IGHG1/IGHG2/B2M/HLA-DRA/IGLV1-44/IGHV1-18/IGHV3-7/IGHA1/HLA-B/IGKV3-15/IGHV5-51/HLA-A/IGHV3-11/IGLV2-14/IGLC2/IGLV3-25/HLA-C/HLA-DRB1/IGKC/FGA/C1QB/AGER/ANXA1/HLA-DRB5/IGKJ1/IGLV3-21/IGHV3-23/IGHV3-30/IGLV3-19/HLA-DPA1/HLA-E/IGKV1-5/IGHV7-4-1/IGKV3-20/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/IGLV2-23/IGKV1-17/IGHD/IGHV3-64D",43
"GO:0016064","GO:0016064","immunoglobulin mediated immune response","26/262","134/6818",4.28641893161087e-12,1.39299547422063e-09,1.25123316714582e-09,"IGHG1/IGHG2/B2M/HLA-DRA/IGHV1-18/IGHV3-7/IGHA1/IGHV5-51/IGHV3-11/IGLC2/HLA-DRB1/IGKC/C1QB/HLA-DRB5/IGHV3-23/IGHV3-30/HLA-DPA1/HLA-E/IGHV7-4-1/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/IGHD/IGHV3-64D",26
"GO:0002443","GO:0002443","leukocyte mediated immunity","36/262","253/6818",4.4906366029034e-12,1.39299547422063e-09,1.25123316714582e-09,"IGHG1/IGHG2/B2M/HLA-DRA/IGHV1-18/IGHV3-7/IGHA1/HLA-B/IGHV5-51/HLA-A/IGHV3-11/IGLC2/HLA-DRB1/IGKC/TYROBP/C1QB/AGER/HLA-DRB5/SCNN1B/IGHV3-23/TUBB4B/CHGA/IGHV3-30/PRDX1/GRP/HLA-DPA1/HLA-E/VAMP8/IGHV7-4-1/IGHV1-24/IGHV4-39/IGHV4-34/IGHV3-73/IGHV4-59/IGHD/IGHV3-64D",36
